bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,18821,1087.720,12286,843.235,February 2020
SHRI VEERSHAIV CO-OP BANK,4367,379.360,2881,238.864,February 2020
SINDHUDURG DCCB,9304,386.510,20225,258.968,February 2020
SIR M. VISVESWARAYA CO-OP BANK,1730,433.820,1880,111.276,February 2020
SOCIETE GENERALE,10381,1697.720,535,1735.349,February 2020
SOLAPUR JANATA SAHAKARI BANK,11011,1342.070,19072,1170.880,February 2020
SOUTH INDIAN BANK,861267,54608.260,1028208,57196.395,February 2020
STANDARD CHARTERED BANK,4627791,465836.730,1798664,417712.482,February 2020
STATE BANK OF INDIA,22321532,2652702.220,58770533,3111836.260,February 2020
SUMITOMO MITSUI BANKING CORP,20817,16868.210,4624,12343.531,February 2020
SURAT DIST CO-OP BANK,18454,1427.170,37061,2257.048,February 2020
SURAT NATIONAL CO-OP BANK,13737,1197.860,15135,773.516,February 2020
SURAT PEOPLES CO-OP BANK,38376,2669.320,46505,2600.078,February 2020
SURYODAY SMALL FINANCE BANK,91374,4661.560,9639,1021.961,February 2020
SUTEX CO-OP BANK,27074,976.110,25630,1368.996,February 2020
SYNDICATE BANK,1446850,163480.070,3774418,186665.974,February 2020
TAMIL NADU STATE APEX CO-OP BANK,111151,3327.060,97424,4312.162,February 2020
TAMILNADU MERCANTILE BANK,495641,33812.310,764123,43049.231,February 2020
TELANGANA STATE CO-OP APEX BANK,40186,2367.740,74960,3981.989,February 2020
TEXTILE TRADERS CO-OP BANK,2354,106.090,2092,154.296,February 2020
THANE BHARAT SAHAKARI BANK,12642,1261.140,29062,1515.491,February 2020
THANE DIST CENTRAL CO-OP BANK,18080,3211.540,142420,2892.027,February 2020
THANE JANATA SAHAKARI BANK,101532,7135.950,206067,11276.422,February 2020
A P MAHESH URBAN CO-OP BANK,20975,3968.650,34784,4168.547,February 2020
AJARA URBAN CO-OP BANK,0,0.000,27,0.467,February 2020
AP STATE CO-OP BANK,40275,1585.720,33800,1877.807,February 2020
BARAMATI SAHAKARI BANK,6980,707.540,13036,698.218,February 2020
GADCHIROLI DIST CO-OP BANK,6625,421.450,83320,1450.598,February 2020
GUJARAT STATE CO-OP BANK,102863,8792.250,376629,17699.952,February 2020
HARYANA STATE CO-OP APEX BANK,1877,114.830,2472,134.920,February 2020
HASTI CO-OP BANK,6208,344.700,7212,593.603,February 2020
KANGRA CENTRAL CO-OP BANK,50690,1290.460,59546,1865.103,February 2020
KANGRA CO-OP BANK,3846,275.910,15135,443.124,February 2020
KERALA STATE CO-OP BANK,975,29.880,2928,317.912,February 2020
MALKAPUR URBAN CO-OP OP BANK,1020,150.000,740,120.857,February 2020
MUSLIM CO-OP BANK,1540,88.110,877,54.211,February 2020
NASIK MERCHANTS CO-OP BANK,14843,790.560,20831,1049.826,February 2020
NAVNIRMAN CO-OP BANK,7367,1357.490,10750,668.461,February 2020
PANDHARPUR URBAN CO-OP BANK,4140,387.540,4557,868.574,February 2020
RAJASTHAN STATE CO-OP BANK,51672,2962.670,351564,2660.970,February 2020
SAHEBRAO DESHMUKH CO-OP BANK,3013,424.920,9085,355.195,February 2020
URBAN CO-OP BANK,1986,264.270,624,58.879,February 2020
VARACHHA CO-OP BANK,24397,1874.080,52011,1636.076,February 2020
VIJAY CO-OP OP BANK,4272,252.530,2351,155.823,February 2020
VISHWESHWAR SAHAKARI BANK,10611,615.950,23801,1253.413,February 2020
ZOROASTRIAN CO-OP BANK,6038,304.790,7967,705.109,February 2020
THRISSUR DIST CO-OP BANK,5488,303.590,9268,379.521,February 2020
TUMKUR GRAIN MERCHANTS CO-OP BANK,9084,640.010,6417,415.814,February 2020
UCO BANK,734561,55760.920,3154571,100264.743,February 2020
UJJIVAN SMALL FINANCE BANK,51966,2995.430,116283,8578.362,February 2020
UNION BANK OF INDIA,2799070,238182.390,6559544,396108.952,February 2020
UNITED BANK OF INDIA,1216126,69107.680,5098646,114910.233,February 2020
UNITED OVERSEAS BANK,54,5.890,19,5.221,February 2020
UTKARSH SMALL FINANCE BANK,226772,7745.930,23327,1612.535,February 2020
UTTAR PRADESH CO-OP BANK,36361,8693.640,865,479.787,February 2020
VASAI JANATA SAHAKARI BANK,3686,943.850,5710,224.259,February 2020
VASAI VIKAS SAHAKARI BANK,5530,507.610,20325,979.312,February 2020
VIJAYA BANK,763731,56213.450,2056276,99531.251,February 2020
WEST BENGAL STATE CO-OP BANK,876230,4275.550,336753,8602.694,February 2020
WESTPAC BANKING CORP,1,0.000,2,0.001,February 2020
WOORI BANK,5405,1414.440,1678,2743.238,February 2020
YES BANK,17617600,580871.130,4356759,426321.813,February 2020
ZILA SAHKARI BANK GHAZIABAD,2681,316.390,15952,618.721,February 2020
ABHYUDAYA CO-OP BANK,105544,3932.940,213840,7129.570,March 2020
ABU DHABI COMMERCIAL BANK,146,25.780,145,12.440,March 2020
ADITYA BIRLA IDEA PAYMENTS BANK,0,0.000,0,0.000,March 2020
AHMEDABAD MERCANTILE CO-OP BANK,21424,1703.340,34881,2280.070,March 2020
AHMEDNAGAR MERCHANTS CO-OP BANK,10774,1695.300,11561,960.270,March 2020
AIRTEL PAYMENTS BANK,104399,29140.620,198109,7005.830,March 2020
AKOLA DIST CENTRAL CO-OP BANK,18549,5834.480,44927,2651.270,March 2020
AKOLA JANATA COMMERCIAL CO-OP BANK,19925,1465.210,18434,1717.100,March 2020
ALLAHABAD BANK,1429044,111203.520,4622121,191725.640,March 2020
ALMORA URBAN CO-OP BANK,13087,497.810,31097,1003.670,March 2020
AMBARNATH JAI HIND CO-OP BANK,2119,161.880,8062,186.220,March 2020
ANDHRA BANK,1170040,121180.310,4039324,231468.040,March 2020
ANDHRA PRADESH GRAMEEN VIKAS BANK,57928,5878.590,356521,10832.130,March 2020
ANDHRA PRAGATHI GRAMEENA BANK,45643,3139.320,213764,6684.910,March 2020
ANZ BANKING GROUP,32674,12413.700,6634,12205.580,March 2020
APANA SAHAKARI BANK,16886,1065.380,59149,2327.310,March 2020
AU SMALL FINANCE BANK,175717,22223.320,177281,40895.270,March 2020
AXIS BANK,22463234,1300730.600,11259978,1524880.180,March 2020
BANK N PARIBAS,369285,141309.060,140065,239890.010,March 2020
BANDHAN BANK,458997,31547.700,535100,33223.930,March 2020
BANK INTERNASIONAL INDONESIA,1379,163.190,46,242.330,March 2020
BANK OF AMERICA,663329,172585.570,92010,101168.110,March 2020
BANK OF BAHARIEN AND KUWAIT,16012,3010.340,2988,1991.400,March 2020
BANK OF BARODA,5256949,595127.110,14293401,658811.000,March 2020
BANK OF CEYLON,1914,71.180,491,125.280,March 2020
BANK OF INDIA,2341433,148990.550,10339061,458531.800,March 2020
BANK OF MAHARASHTRA,1205036,99924.340,3051598,161117.950,March 2020
BANK OF NOVA SCOTIA,472,3072.220,426,4978.310,March 2020
BANK OF TOKYO AND MITSUBISHI,72094,25205.690,8648,37858.400,March 2020
BARCLAYS BANK,62863,58993.560,11388,47700.890,March 2020
BASSEIN CATHOLIC CO-OP BANK,36951,2550.490,72795,3784.820,March 2020
BHAGINI NIVEDITA SAHAKARI BANK,3728,107.670,6882,166.480,March 2020
BHARAT CO-OP BANK,82799,5540.770,166139,8367.930,March 2020
CANARA BANK,3299297,328591.630,7809966,524540.010,March 2020
CAPITAL SMALL FINANCE BANK,36262,2084.760,51784,3684.100,March 2020
CATHOLIC SYRIAN BANK,159615,8495.850,213136,10344.150,March 2020
CENTRAL BANK OF INDIA,2013001,157504.160,6781075,253786.700,March 2020
CITI BANK,8025648,1302152.130,2925336,956645.810,March 2020
CITIZEN CREDIT CO-OP BANK,12295,727.160,31663,1502.370,March 2020
CITY UNION BANK,1300029,59431.080,768493,46868.900,March 2020
CORP BANK,2648247,111679.480,3375759,244563.950,March 2020
COSMOS CO-OP BANK,118217,12424.000,211602,14533.540,March 2020
CREDIT AGRICOLE CORP AND INVESTMENT BANK,11820,12088.480,978,23435.220,March 2020
CREDIT SUISSE AG,42,5.580,58,554.610,March 2020
CTBC BANK CO-OP,2192,553.510,621,2380.540,March 2020
DCB BANK,266890,22515.810,365673,29520.550,March 2020
DELHI STATE CO-OP OP BANK,2195,117.440,7142,286.130,March 2020
DENA BANK,273066,19656.110,1923631,77651.290,March 2020
DEOGIRI NAGARI SAHAKARI BANK,5069,595.410,13902,587.790,March 2020
DEUTSCHE BANK,2463504,459179.400,400919,371023.210,March 2020
DEVELOPMENT BANK OF SINGAPORE,563323,138214.660,198484,75769.890,March 2020
DHANLAXMI BANK,144997,5589.270,186061,8695.140,March 2020
DICGC BANK,101,293.430,32,2.540,March 2020
DMK JAOLI BANK,4044,594.680,12150,464.670,March 2020
DOHA BANK QSC,36588,4635.150,2639,578.820,March 2020
DOMBIVLI NAGRIK SAHAKARI BANK,24453,1246.970,65103,2182.350,March 2020
DURGAPUR STEEL PEOPLES CO-OP BANK,1847,47.280,5806,278.110,March 2020
EMIRATES NBD BANK PJSC,3709,3430.670,264,2356.230,March 2020
EQUITAS SMALL FINANCE BANK,200341,8698.160,75075,5332.670,March 2020
ESAF SMALL FINANCE BANK,30979,1415.080,48961,2758.650,March 2020
EXPORT IMPORT BANK OF INDIA,0,0.000,266,14203.480,March 2020
FEDERAL BANK,3155970,175928.060,2224551,130994.100,March 2020
FINCARE SMALL FINANCE BANK,9332,1130.230,29187,1453.340,March 2020
FINO PAYMENTS BANK,735027,11300.100,156662,4434.990,March 2020
FIRSTRAND BANK,195,45.140,37,794.320,March 2020
GOPINATH PATIL PARSIK JAN SAHA BANK,35686,2699.350,85992,4035.010,March 2020
GREATER BOMBAY CO-OP BANK,8341,353.230,36365,1005.940,March 2020
HDFC BANK,34801599,3522828.660,18537800,3323879.630,March 2020
HIMACHAL PRADESH STATE CO-OP,64670,1538.360,117916,3431.430,March 2020
HSBC BANK,2631683,568523.090,899379,533731.150,March 2020
ICICI BANK,23449459,1457342.150,14670124,1926821.170,March 2020
IDBI BANK,8836426,423067.280,4946939,522715.590,March 2020
IDFC BANK,989137,120098.570,643321,103440.860,March 2020
IDUKKI DIST CO-OP BANK,5760,864.430,5265,312.200,March 2020
INDIA POST PAYMENTS BANK,331512,8037.570,135828,1692.460,March 2020
INDIAN BANK,1306841,105125.770,5058056,224081.160,March 2020
INDIAN OVERSEAS BANK,1655331,110132.280,4270658,194853.370,March 2020
INDUSIND BANK,5082660,388473.110,2030527,363069.200,March 2020
INDUSTRIAL AND CO-OP BANK OF CHINA,1015,1861.480,130,1369.470,March 2020
INDUSTRIAL BANK OF KOREA,1940,494.200,288,1796.910,March 2020
IRINJALAKUDA TOWN CO-OP BANK,1446,54.300,1011,66.930,March 2020
JALGAON JANATA SAHKARI BANK,12540,572.690,22198,2369.860,March 2020
JALGAON PEOPLES CO-OP BANK,9115,1334.330,27099,1107.820,March 2020
JAMMU AND KASHMIR BANK,591798,32461.210,598908,33134.120,March 2020
JANA SMALL FINANCE BANK,43809,5586.190,19977,2516.680,March 2020
JANAKALYAN SAHAKARI BANK,15593,1167.600,35912,1758.130,March 2020
JANATA SAHAKARI BANK,80169,4728.720,95666,6109.390,March 2020
JANSEVA SAHAKARI BANK BORIVILI,3887,225.830,8071,348.250,March 2020
JANSEVA SAHAKARI BANK PUNE,9089,453.120,32167,1348.400,March 2020
JIO PAYMENTS BANK,4899,12.590,4709,2.080,March 2020
JP MORGAN BANK,660302,86282.870,17797,79297.480,March 2020
KALLAPPANNA AWADE IJSB,17948,890.990,21585,1508.750,March 2020
KALUPUR COMM CO-OP BANK,69871,9085.360,113592,13281.640,March 2020
KALYAN JANATA SAHAKARI BANK,15302,1359.170,45233,1815.340,March 2020
KARAD URBAN CO-OP BANK,17392,987.630,32038,2548.970,March 2020
KARNATAKA BANK,507316,37130.410,1396205,71943.750,March 2020
KARNATAKA STATE CO-OP APEX BANK,51663,2256.970,122424,6527.520,March 2020
KARNATAKA VIKAS GRAMEEN BANK,72921,13610.360,245580,9500.670,March 2020
KARUR VYSYA BANK,1095777,72565.060,1471491,80595.910,March 2020
KAVERI GRAMEENA BANK,0,0.000,0,0.000,March 2020
KERALA GRAMIN BANK,79368,4578.400,550453,10115.900,March 2020
KOREA EXCHANGE BANK,2299,3778.710,744,3381.980,March 2020
KOTAK MAHINDRA BANK,9473842,682048.020,5345240,757743.070,March 2020
KOZHIKODE DIST CO-OP BANK,9649,537.200,18238,820.780,March 2020
KRUNG THAI BANK PCL,88,4.870,26,13.200,March 2020
KURMANCHAL NAGAR SAHAKARI BANK,16782,1346.220,15461,1050.270,March 2020
LAKSHMI VILAS BANK,361365,18339.570,354425,20822.240,March 2020
MAHANAGAR CO-OP BANK,15132,1104.040,43102,1813.130,March 2020
MAHARASHTRA GRAMIN BANK,85558,8123.620,427534,9974.930,March 2020
MAHARASHTRA STATE CO-OP BANK,6492,2003.770,17606,9074.640,March 2020
MAHESH SAHAKARI BANK PUNE,6671,387.540,6765,607.220,March 2020
MASHREQ BANK,221,197.640,65,443.800,March 2020
MEHSANA URBAN CO-OP BANK,40089,2722.120,69515,5279.900,March 2020
MIZUHO CORP BANK,37491,12493.000,6832,23204.670,March 2020
MUMBAI DIST CENTRAL CO-OP BANK,14821,670.550,27989,1908.090,March 2020
MUNICIPAL CO-OP BANK,3458,151.690,5114,129.870,March 2020
NABARD BANK,23037,139530.520,511,68185.030,March 2020
NAGAR URBAN CO-OP BANK,10728,749.070,14146,709.270,March 2020
NAGPUR NAGRIK SAHAKARI BANK,12207,768.510,19533,1879.860,March 2020
NAINITAL BANK,47844,2870.290,94249,7602.740,March 2020
NATIONAL BANK OF ABU DHABI PJSC,712,1780.740,18,1163.210,March 2020
NAV JEEVAN CO-OP BANK,2928,760.580,2552,277.710,March 2020
NEW INDIA CO-OP BANK,18156,682.770,38189,1284.380,March 2020
NILAMBUR CO-OP URBAN BANK,2098,103.440,2821,98.270,March 2020
NKGSB BANK,57157,3044.680,89328,4698.200,March 2020
NORTH EAST SMALL FINANCE BANK,20964,1784.580,2802,129.470,March 2020
NSDL PAYMENTS BANK,428,1.950,376,25.010,March 2020
NUTAN NAGARIK SAHAKARI BANK,25572,1526.050,32849,2197.080,March 2020
ODISHA STATE CO-OP BANK,95285,5414.210,1806,610.270,March 2020
ORIENTAL BANK OF COMMERCE,1573021,87541.690,3085716,178282.040,March 2020
PAYTM PAYMENTS BANK,527585,9615.530,663493,84484.510,March 2020
PRAGATHI KRISHNA GRAMIN BANK,87849,36880.620,472289,17104.170,March 2020
PRATHAMA BANK,0,0.000,0,0.000,March 2020
PRIME CO-OP BANK SURAT,22015,1357.370,23343,1160.470,March 2020
PUNJAB AND SIND BANK,272401,24078.810,1174214,45621.190,March 2020
PUNJAB NATIONAL BANK,4372272,310567.040,13385905,669692.950,March 2020
PUSAD URBAN CO-OP BANK,4155,278.770,1424,414.030,March 2020
QATAR NATIONAL BANK,25,1116.950,25,36.930,March 2020
RABOBANK INTERNATIONAL,3259,3621.700,257,3590.270,March 2020
RAJARAMBAPU SAHAKARI BANK,12506,819.790,6235,943.090,March 2020
RAJASTHAN MARUDHARA GRAMIN BANK,60562,8519.660,1544542,5685.070,March 2020
RAJGURUNAGAR SAHAKARI BANK,11716,492.650,18876,660.640,March 2020
RAJKOT NAGARIK SAHAKARI BANK,17028,1230.510,42498,2700.760,March 2020
RBI PAD,53555516,3280224.490,1684695,589739.200,March 2020
RBL BANK,3135518,130339.100,1341176,125771.810,March 2020
SAMARTH SAHAKARI BANK SOLAPUR,6783,308.430,8247,313.880,March 2020
SANT SOPANKAKA SAHAKARI BANK,2436,122.490,1703,85.840,March 2020
SARASPUR NAGRIK CO-OP BANK,6407,509.830,2263,114.110,March 2020
SARASWAT CO-OP BANK,363173,22307.390,620610,40675.400,March 2020
SATARA SAHAKARI BANK,3895,688.870,2575,150.270,March 2020
SBER BANK,196,191.070,40,21.450,March 2020
SBM BANK INDIA,3167,4699.040,2367,8824.780,March 2020
SEVA VIKAS CO-OP BANK,5402,243.200,22558,809.860,March 2020
SHAMRAO VITHAL CO-OP BANK,204029,13182.820,334040,19379.830,March 2020
SHIKSHAK SAHAKARI BANK,4472,227.280,6728,412.340,March 2020
SHINHAN BANK,27807,13494.360,15466,11935.940,March 2020
SHIVALIK MERCANTILE CO-OP BANK,11468,845.010,11495,659.120,March 2020
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,16539,996.600,11381,873.500,March 2020
SHRI VEERSHAIV CO-OP BANK,4076,369.470,2751,259.390,March 2020
SINDHUDURG DCCB,7527,650.140,16100,433.930,March 2020
SIR M. VISVESWARAYA CO-OP BANK,1786,719.430,1945,147.060,March 2020
SOCIETE GENERALE,9284,14740.970,544,9858.350,March 2020
SOLAPUR JANATA SAHAKARI BANK,9901,1418.230,18609,1449.180,March 2020
SOUTH INDIAN BANK,823335,49218.950,1050448,56371.630,March 2020
STANDARD CHARTERED BANK,5806629,605056.240,1836431,586555.100,March 2020
STATE BANK OF INDIA,21585094,3559627.950,66417737,3766514.160,March 2020
SUMITOMO MITSUI BANKING CORP,19524,17724.840,3813,16292.430,March 2020
SURAT DIST CO-OP BANK,20147,1556.700,41852,2698.910,March 2020
SURAT NATIONAL CO-OP BANK,12662,835.520,14168,640.230,March 2020
SURAT PEOPLES CO-OP BANK,37651,2498.930,50767,2518.130,March 2020
SURYODAY SMALL FINANCE BANK,59649,4207.800,9444,736.090,March 2020
SUTEX CO-OP BANK,32503,910.160,24686,1234.780,March 2020
SYNDICATE BANK,1339421,156553.910,3949438,260181.670,March 2020
TAMIL NADU STATE APEX CO-OP BANK,124265,3644.270,153523,5199.510,March 2020
TAMILNADU MERCANTILE BANK,459890,31394.480,726924,42534.070,March 2020
TELANGANA STATE CO-OP APEX BANK,28080,1591.530,94497,3279.070,March 2020
TEXTILE TRADERS CO-OP BANK,2546,99.920,2046,162.500,March 2020
THANE BHARAT SAHAKARI BANK,11706,1949.270,26664,1688.060,March 2020
THANE DIST CENTRAL CO-OP BANK,17078,5723.420,116894,4872.260,March 2020
THANE JANATA SAHAKARI BANK,95337,6746.420,194146,11682.040,March 2020
A P MAHESH URBAN CO-OP BANK,19137,3317.960,32149,2424.550,March 2020
AJARA URBAN CO-OP BANK,1,0.000,12,0.110,March 2020
AP STATE CO-OP BANK,29716,1666.350,41574,4448.940,March 2020
BARAMATI SAHAKARI BANK,5887,567.570,11873,653.620,March 2020
GADCHIROLI DIST CO-OP BANK,6942,274.500,44588,1213.680,March 2020
GUJARAT STATE CO-OP BANK,104181,9504.830,340391,17102.960,March 2020
HARYANA STATE CO-OP APEX BANK,1871,1072.930,1525,177.140,March 2020
HASTI CO-OP BANK,7251,405.960,7310,586.450,March 2020
KANGRA CENTRAL CO-OP BANK,43362,1232.950,70766,2753.240,March 2020
KANGRA CO-OP BANK,4362,340.060,14387,390.610,March 2020
KERALA STATE CO-OP BANK,2218,139.330,2650,18014.230,March 2020
MALKAPUR URBAN CO-OP OP BANK,60,8.300,990,143.910,March 2020
MUSLIM CO-OP BANK,1281,61.130,850,45.820,March 2020
NASIK MERCHANTS CO-OP BANK,14876,818.150,21547,1170.420,March 2020
NAVNIRMAN CO-OP BANK,6702,1227.940,9423,615.060,March 2020
PANDHARPUR URBAN CO-OP BANK,3868,370.060,4276,481.040,March 2020
RAJASTHAN STATE CO-OP BANK,54980,4299.620,541462,3370.000,March 2020
SAHEBRAO DESHMUKH CO-OP BANK,2681,522.820,8041,353.160,March 2020
URBAN CO-OP BANK,1848,254.350,699,56.780,March 2020
VARACHHA CO-OP BANK,27700,2024.140,59025,1759.630,March 2020
VIJAY CO-OP OP BANK,3828,210.600,2186,163.450,March 2020
VISHWESHWAR SAHAKARI BANK,9673,568.880,21417,1148.230,March 2020
ZOROASTRIAN CO-OP BANK,5793,219.120,8108,568.200,March 2020
THRISSUR DIST CO-OP BANK,6206,552.310,11053,613.060,March 2020
TUMKUR GRAIN MERCHANTS CO-OP BANK,8598,621.930,6179,497.200,March 2020
UCO BANK,692881,55002.460,3811725,118158.520,March 2020
UJJIVAN SMALL FINANCE BANK,50621,3073.360,111695,8745.350,March 2020
UNION BANK OF INDIA,2641958,258299.820,7039508,444707.280,March 2020
UNITED BANK OF INDIA,1205811,60299.540,5722806,123060.700,March 2020
UNITED OVERSEAS BANK,41,1293.950,22,1184.590,March 2020
UTKARSH SMALL FINANCE BANK,210729,6888.330,22229,1996.920,March 2020
UTTAR PRADESH CO-OP BANK,34313,8211.520,541,691.810,March 2020
VASAI JANATA SAHAKARI BANK,4016,640.010,5691,205.580,March 2020
VASAI VIKAS SAHAKARI BANK,5029,435.640,18553,779.970,March 2020
VIJAYA BANK,22748,1471.380,2126936,142364.110,March 2020
WEST BENGAL STATE CO-OP BANK,405841,2434.400,261392,6587.060,March 2020
WESTPAC BANKING CORP,3,0.000,2,0.000,March 2020
WOORI BANK,17308,2441.140,1614,2364.110,March 2020
YES BANK,7121932,343246.590,1893053,269722.440,March 2020
ZILA SAHKARI BANK GHAZIABAD,2231,315.120,11527,480.680,March 2020
ABHYUDAYA CO-OP BANK,71793,1707.560,143159,3948.470,April 2020
ABU DHABI COMMERCIAL BANK,66,0.940,65,0.940,April 2020
AHMEDABAD MERCANTILE CO-OP BANK,9062,601.010,11799,781.540,April 2020
AHMEDNAGAR MERCHANTS CO-OP BANK,8977,570.540,7392,596.040,April 2020
AIRTEL PAYMENTS BANK,440962,16629.200,254979,2933.050,April 2020
AKOLA DIST CENTRAL CO-OP BANK,11644,565.880,27681,1476.120,April 2020
AKOLA JANATA COMMERCIAL CO-OP BANK,11193,660.340,11604,826.370,April 2020
ALLAHABAD BANK,1356102,39329.630,3315357,88671.970,April 2020
ALMORA URBAN CO-OP BANK,11084,238.380,24777,506.170,April 2020
AMBARNATH JAI HIND CO-OP BANK,1646,88.030,5666,97.840,April 2020
ANDHRA BANK,710487,63367.310,2636574,190648.060,April 2020
ANDHRA PRADESH GRAMEEN VIKAS BANK,35236,3032.760,207879,5372.920,April 2020
ANDHRA PRAGATHI GRAMEENA BANK,41865,2476.280,235972,7928.620,April 2020
ANZ BANKING GROUP,29620,7718.130,7260,11347.560,April 2020
APANA SAHAKARI BANK,12007,393.490,44154,1086.990,April 2020
AU SMALL FINANCE BANK,93124,8798.940,91829,14506.000,April 2020
AXIS BANK,13618010,643080.890,7343483,725851.650,April 2020
BANK N PARIBAS,286243,84677.000,98682,118048.710,April 2020
BANDHAN BANK,397269,35688.450,306853,14726.230,April 2020
BANK INTERNASIONAL INDONESIA,2080,131.470,53,1.170,April 2020
BANK OF AMERICA,591782,121048.550,60302,85629.300,April 2020
BANK OF BAHARIEN AND KUWAIT,11395,1890.480,1222,598.140,April 2020
BANK OF BARODA,3616713,297832.990,9877420,410607.390,April 2020
